row_number,inning,half,pitcher,batter,ball_count,strike_count,pitch,result,outs,runner_1B,runner_2B,runner_3B,score,away_score,home_score,pitcher_pitch_count,gameid,game_date,pitcher_throw,batter_hit,batter_height,batter_position,Extension (ft),Pitch Time,Release Speed (mph),Spin Rate (rpm),Tilt,Induced Virtual Break (in),Horizontal Break (in),Vertical Approach Angle,Horizontal Approach Angle,Location Side (ft),Location Height (ft),Release Height (ft),Release Side (ft),Pitch Type,PitchType_Color,Handedness,Hit Type,Exit Velocity (mph),Launch Angle (°),Batter Name,Hit Time,Direction (°),Bearing (°),Distance (ft)
18,1,Bottom,Noah Skirrow,Tomo Otosaka,0,0,Foul,,0,FALSE,FALSE,FALSE,0-0,0,0,1,624479,,R,L,11-May,OF,5.85,5/1/2025 22:42,92.46,2502,1:00,20.57,9.94,-3.77,-1.69,0.27,3.58,5.84,2.66,Four-Seam,"hsla(0, 0%, 58%, 1)",L,GroundBall,86.25,–10.88,Tomo Otosaka,5/1/2025 18:42,–0.62,–0.66,12.75
19,1,Bottom,Noah Skirrow,Tomo Otosaka,0,1,,single,0,FALSE,FALSE,FALSE,0-0,0,0,2,624479,,R,L,11-May,OF,5.45,5/1/2025 22:42,88.15,2565,11:15,5.87,-2.12,-6.43,-3.04,0.04,2.51,5.81,2.71,Slider,"hsla(0, 0%, 58%, 1)",L,LineDrive,95.42,6.39,Jalen Miller,5/1/2025 18:43,–26.91,–30.22,120.94
20,1,Bottom,Noah Skirrow,Jalen Miller,0,0,,single,0,TRUE,FALSE,FALSE,0-0,0,0,3,624479,,R,R,Jun-00,2B,6.03,5/1/2025 22:43,91.28,2362,2:15,9.18,17.55,-6.42,-0.47,0.75,1.97,5.74,2.65,Sinker,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
21,1,Bottom,Noah Skirrow,Frankie Tostado,0,0,Ball,,0,TRUE,TRUE,FALSE,0-0,0,0,4,624479,,R,L,2-Jun,1B,10.39,5/1/2025 22:44,160.95,5217,7:45,-3.7,-10.66,-15.31,-5.31,1.61,5.13,5.8,2.86,Slider,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
22,1,Bottom,Noah Skirrow,Frankie Tostado,1,0,,fly out to left field,0,TRUE,TRUE,FALSE,0-0,0,0,5,624479,,R,L,2-Jun,1B,,,,,,,,,,,,,,,,,FlyBall,97.14,44.09,Frankie Tostado,5/1/2025 18:44,–2.06,–13.03,311.22
23,1,Bottom,Noah Skirrow,Alerick Soularie,0,0,Swinging Strike,,1,TRUE,TRUE,FALSE,0-0,0,0,6,624479,,R,R,Jun-00,OF,5.13,5/1/2025 22:45,80.57,2676,8:15,-0.96,-6.31,-7.09,-3.47,-0.04,3.09,5.88,2.7,Slider,"hsla(0, 0%, 58%, 1)",R,,,,,,,,
24,1,Bottom,Noah Skirrow,Alerick Soularie,0,1,,fly out,1,FALSE,FALSE,TRUE,0-0,0,0,7,624479,,R,R,Jun-00,OF,5.65,5/1/2025 22:45,93.06,2272,1:45,14.66,15.83,-5.33,-0.48,0.78,2.44,5.77,2.55,Sinker,"hsla(0, 0%, 58%, 1)",R,GroundBall,69.77,–0.03,Alerick Soularie,5/1/2025 18:45,–9.63,–10.13,41.34
25,1,Bottom,Noah Skirrow,Osvaldo Tovalin,0,0,Ball,,2,FALSE,FALSE,TRUE,0-0,0,0,8,624479,,R,L,2-Jun,IF,6.12,5/1/2025 22:46,87.05,1779,2:30,6.06,16.03,-7.08,-0.57,0.87,1.74,5.63,2.73,ChangeUp,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
26,1,Bottom,Noah Skirrow,Osvaldo Tovalin,1,0,Ball,,2,FALSE,FALSE,TRUE,0-0,0,0,9,624479,,R,L,2-Jun,IF,5.66,5/1/2025 22:46,89.03,2416,1:00,10.18,5.57,-7.3,-2.97,-0.48,1.23,5.82,2.75,Four-Seam,"hsla(0, 0%, 58%, 1)",L,,,,,,,,
27,1,Bottom,Noah Skirrow,Osvaldo Tovalin,2,0,,fly out,2,FALSE,FALSE,TRUE,0-0,0,0,10,624479,,R,L,2-Jun,IF,6.05,5/1/2025 22:47,85.58,1673,2:15,7.39,15.25,-6.11,-0.46,1.07,2.67,5.69,2.76,ChangeUp,"hsla(0, 0%, 58%, 1)",L,GroundBall,104.11,–15.50,Osvaldo Tovalin,5/1/2025 18:47,–9.78,–14.82,10.37
