row_number,inning,half,pitcher,batter,ball_count,strike_count,pitch,result,outs,runner_1B,runner_2B,runner_3B,score,away_score,home_score,pitcher_pitch_count,gameid,game_date,pitcher_throw,batter_hit,batter_height,batter_position,Extension (ft),Pitch Time,Release Speed (mph),Spin Rate (rpm),Tilt,Induced Virtual Break (in),Horizontal Break (in),Vertical Approach Angle,Horizontal Approach Angle,Location Side (ft),Location Height (ft),Release Height (ft),Release Side (ft),Pitch Type,PitchType_Color,Handedness,Hit Type,Exit Velocity (mph),Launch Angle (°),Batter Name,Hit Time,Direction (°),Bearing (°),Distance (ft),Umpire
122,4,Top,Rafi Vazquez,Joseph Rosa,0,0,Ball,,0,FALSE,FALSE,FALSE,Jan-00,1,0,1,624166,,R,S,,IF,5.49,4/30/2025 23:45,91.68,2456,1:30,12.44,12.11,-3.81,1.04,1.86,3.69,5.32,1.9,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
123,4,Top,Rafi Vazquez,Joseph Rosa,1,0,,fly out to center field,0,FALSE,FALSE,FALSE,Jan-00,1,0,2,624166,,R,S,,IF,5.65,4/30/2025 23:46,91.34,2453,1:15,14.09,11,-5.87,-1.2,-0.21,1.64,5.33,1.82,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
124,4,Top,Rafi Vazquez,JJ Matijevic,0,0,Ball,,1,FALSE,FALSE,FALSE,Jan-00,1,0,3,624166,,R,L,,IF,5.47,4/30/2025 23:46,92.6,2356,1:45,10.93,11.71,-6.27,-1.43,-0.46,1.46,5.37,1.86,Sinker,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
125,4,Top,Rafi Vazquez,JJ Matijevic,1,0,Ball,,1,FALSE,FALSE,FALSE,Jan-00,1,0,4,624166,,R,L,,IF,5.48,4/30/2025 23:46,92.78,2419,2:00,9.05,12.87,-5.59,0.26,1.22,2.18,5.29,2.05,Sinker,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
126,4,Top,Rafi Vazquez,JJ Matijevic,2,0,Foul,,1,FALSE,FALSE,FALSE,Jan-00,1,0,5,624166,,R,L,,IF,5.44,4/30/2025 23:47,91.74,2401,1:30,15.67,13.05,-5.32,-0.46,0.47,2.03,5.32,1.98,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
127,4,Top,Rafi Vazquez,JJ Matijevic,2,1,Called Strike,,1,FALSE,FALSE,FALSE,Jan-00,1,0,6,624166,,R,L,,IF,5.73,4/30/2025 23:47,93.63,2428,2:15,6.27,11.37,-5.52,0.06,0.99,2.41,5.27,1.88,Sinker,"hsla(24, 91%, 60%,1)",L,,,,,,,,,Miguel De La Cruz Segura
128,4,Top,Rafi Vazquez,JJ Matijevic,2,2,Swinging Strike,strike out,1,FALSE,FALSE,FALSE,Jan-00,1,0,7,624166,,R,L,,IF,5.11,4/30/2025 23:47,85.54,2531,7:45,-0.42,-2.16,-8.08,-1.63,0.63,1.12,5.21,1.99,Slider,"hsla(49, 100%, 44%,1)",L,,,,,,,,,Miguel De La Cruz Segura
129,4,Top,Rafi Vazquez,James Nelson,0,0,Called Strike,,2,FALSE,FALSE,FALSE,Jan-00,1,0,8,624166,,R,R,,IF,5.71,4/30/2025 23:48,92.62,2432,1:30,11.49,11.57,-5.24,-1.5,-0.51,2.51,5.44,1.86,Sinker,"hsla(321, 100%, 41%, 1)",R,,,,,,,,,Miguel De La Cruz Segura
130,4,Top,Rafi Vazquez,James Nelson,0,1,,single,2,FALSE,FALSE,FALSE,Jan-00,1,0,9,624166,,R,R,,IF,5.04,4/30/2025 23:48,88.06,2433,7:30,-1.47,-2.46,-7.78,-2.33,-0.2,1.39,5.3,1.79,Slider,"hsla(49, 100%, 44%,1)",R,,,,,,,,,Miguel De La Cruz Segura
131,4,Top,Rafi Vazquez,Bobby Bradley,0,0,,fly out to left field,2,TRUE,FALSE,FALSE,Jan-00,1,0,10,624166,,R,L,,IF,5.69,4/30/2025 23:49,93.52,2471,1:30,12.43,12.48,-5.48,-0.6,0.29,2.02,5.33,1.89,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
132,4,Bottom,Jamison Hill,Brett Barrera,0,0,Called Strike,,0,FALSE,FALSE,FALSE,Jan-00,1,0,53,624166,,R,R,Jun-00,3B,6.01,4/30/2025 23:51,89.96,2153,12:45,18.75,8.31,-5.78,-0.28,0.03,2.29,6.17,0.98,Four-Seam,"hsla(321, 100%, 41%, 1)",R,,,,,,,,,Miguel De La Cruz Segura
133,4,Bottom,Jamison Hill,Brett Barrera,0,1,Swinging Strike,,0,FALSE,FALSE,FALSE,Jan-00,1,0,54,624166,,R,R,Jun-00,3B,5.71,4/30/2025 23:51,78.99,2746,6:45,-12.93,-6.18,-10.59,-2.08,-0.44,1.45,6.36,0.97,Curveball,"hsla(212, 97%, 62%,1)",R,,,,,,,,,Miguel De La Cruz Segura
134,4,Bottom,Jamison Hill,Brett Barrera,0,2,Called Strike,strike out,0,FALSE,FALSE,FALSE,Jan-00,1,0,55,624166,,R,R,Jun-00,3B,5.95,4/30/2025 23:52,91.83,2263,12:45,19.16,7.78,-4.83,-1.06,-0.81,3.12,6.28,0.83,Four-Seam,"hsla(321, 100%, 41%, 1)",R,,,,,,,,,Miguel De La Cruz Segura
135,4,Bottom,Jamison Hill,Gio Digiacomo,0,0,Ball,,1,FALSE,FALSE,FALSE,Jan-00,1,0,56,624166,,R,L,,OF,5.48,4/30/2025 23:52,77.67,2587,6:45,-15.04,-5.74,-8.37,0.25,1.57,3.83,6.31,0.85,Curveball,"hsla(212, 97%, 62%,1)",L,,,,,,,,,Miguel De La Cruz Segura
136,4,Bottom,Jamison Hill,Gio Digiacomo,1,0,Ball,,1,FALSE,FALSE,FALSE,Jan-00,1,0,57,624166,,R,L,,OF,5.67,4/30/2025 23:53,84.11,2469,8:30,-0.66,-6.85,-6.2,-2.2,-0.32,4.01,6.31,1.16,Slider,"hsla(49, 100%, 44%,1)",L,,,,,,,,,Miguel De La Cruz Segura
137,4,Bottom,Jamison Hill,Gio Digiacomo,2,0,,single,1,FALSE,FALSE,FALSE,Jan-00,1,0,58,624166,,R,L,,OF,6.18,4/30/2025 23:53,90.99,2086,12:45,17.92,7.75,-5.99,-1.41,-0.98,1.99,6.09,0.97,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
138,4,Bottom,Jamison Hill,Sam Dexter,0,0,Ball,,1,TRUE,FALSE,FALSE,Jan-00,1,0,59,624166,,R,R,11-May,SS,12.28,4/30/2025 23:54,184.18,4735,1:45,33.68,22.04,-13.99,-0.48,-0.45,2.48,6.22,0.92,Four-Seam,"hsla(321, 100%, 41%, 1)",R,,,,,,,,,Miguel De La Cruz Segura
139,4,Bottom,Jamison Hill,Sam Dexter,1,0,Ball,,1,TRUE,FALSE,FALSE,Jan-00,1,0,60,624166,,R,R,11-May,SS,6.16,4/30/2025 23:54,91.12,2331,12:45,19.77,8.53,-6.72,-0.75,-0.38,1.28,6.2,1.03,Four-Seam,"hsla(321, 100%, 41%, 1)",R,,,,,,,,,Miguel De La Cruz Segura
140,4,Bottom,Jamison Hill,Sam Dexter,2,0,Foul,,1,TRUE,FALSE,FALSE,Jan-00,1,0,61,624166,,R,R,11-May,SS,6.38,4/30/2025 23:54,91.24,2313,1:15,14.94,10.59,-5.99,0.84,1,2.25,6.11,1.12,Four-Seam,"hsla(321, 100%, 41%, 1)",R,,,,,,,,,Miguel De La Cruz Segura
141,4,Bottom,Jamison Hill,Sam Dexter,2,1,,fly out,1,TRUE,FALSE,FALSE,Jan-00,1,0,62,624166,,R,R,11-May,SS,5.65,4/30/2025 23:55,87.65,2632,11:00,3.25,-1.1,-6.79,-1.03,0.17,2.92,6.25,1.04,Slider,"hsla(14, 88%, 30%,1)",R,,,,,,,,,Miguel De La Cruz Segura
143,5,Top,Rafi Vazquez,Travis Demeritte,0,0,,single,0,FALSE,FALSE,FALSE,Jan-00,1,0,11,624166,,R,R,,IF,5.78,4/30/2025 23:58,90.6,2414,1:15,14.11,9.5,-5.17,-1.1,-0.13,2.51,5.47,1.69,Four-Seam,"hsla(321, 100%, 41%, 1)",R,,,,,,,,,Miguel De La Cruz Segura
144,5,Top,Rafi Vazquez,Zach Daniels,0,0,Called Strike,,0,TRUE,FALSE,FALSE,Jan-00,1,0,12,624166,,R,R,,OF,5.09,4/30/2025 23:58,82.72,2509,8:30,-1.45,-8.96,-7.82,-2.57,0.13,1.86,5.4,1.8,Slider,"hsla(49, 100%, 44%,1)",R,,,,,,,,,Miguel De La Cruz Segura
145,5,Top,Rafi Vazquez,Zach Daniels,0,1,Foul,,0,TRUE,FALSE,FALSE,Jan-00,1,0,13,624166,,R,R,,OF,5.78,4/30/2025 23:59,91.8,2458,1:15,14.15,11.26,-5.35,-0.42,0.39,2.24,5.43,1.72,Four-Seam,"hsla(321, 100%, 41%, 1)",R,,,,,,,,,Miguel De La Cruz Segura
146,5,Top,Rafi Vazquez,Zach Daniels,0,2,Ball,,0,TRUE,FALSE,FALSE,Jan-00,1,0,14,624166,,R,R,,OF,5.04,4/30/2025 23:59,85.42,2579,8:00,-3.41,-9.6,-9.27,-2.94,-0.14,0.4,5.36,1.83,Slider,"hsla(49, 100%, 44%,1)",R,,,,,,,,,Miguel De La Cruz Segura
147,5,Top,Rafi Vazquez,Zach Daniels,1,2,Ball,,0,FALSE,TRUE,FALSE,Jan-00,1,0,15,624166,,R,R,,OF,5.59,5/1/2025 0:00,92.33,2529,1:30,14.63,12.58,-5.19,1.22,1.77,2.34,5.44,1.68,Four-Seam,"hsla(321, 100%, 41%, 1)",R,,,,,,,,,Miguel De La Cruz Segura
148,5,Top,Rafi Vazquez,Zach Daniels,2,2,Foul,,0,FALSE,TRUE,FALSE,Jan-00,1,0,16,624166,,R,R,,OF,5.8,5/1/2025 0:00,92.89,2479,1:15,15.05,10.62,-4.14,-0.29,0.56,3.27,5.46,1.72,Four-Seam,"hsla(321, 100%, 41%, 1)",R,,,,,,,,,Miguel De La Cruz Segura
149,5,Top,Rafi Vazquez,Zach Daniels,2,2,,single,0,FALSE,TRUE,FALSE,Jan-00,1,0,17,624166,,R,R,,OF,5.08,5/1/2025 0:00,86.07,2586,8:15,-2.45,-9.22,-7.96,-3,-0.45,1.51,5.38,1.61,Slider,"hsla(49, 100%, 44%,1)",R,,,,,,,,,Miguel De La Cruz Segura
150,5,Top,Rafi Vazquez,Ariel Pestano Jr.,0,0,Ball,,0,TRUE,FALSE,TRUE,Jan-00,1,0,18,624166,,R,R,,C,5.69,5/1/2025 0:01,92.54,2414,1:15,13.87,9.02,-3.1,-0.37,0.86,4.27,5.41,1.95,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
151,5,Top,Rafi Vazquez,Ariel Pestano Jr.,1,0,Foul,,0,FALSE,TRUE,FALSE,Jan-00,1,0,19,624166,,R,R,,C,5.82,5/1/2025 0:02,91.04,2408,1:15,12.06,8.96,-4.56,-0.27,0.76,3.09,5.36,1.75,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
152,5,Top,Rafi Vazquez,Ariel Pestano Jr.,1,1,Ball,,0,FALSE,TRUE,FALSE,Jan-00,1,0,20,624166,,R,R,,C,5.75,5/1/2025 0:02,92.04,2371,1:30,11.24,9.92,-4.58,0.19,1.19,3.03,5.33,1.83,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
153,5,Top,Rafi Vazquez,Ariel Pestano Jr.,2,1,Ball,,0,FALSE,TRUE,FALSE,Jan-00,1,0,21,624166,,R,R,,C,5.81,5/1/2025 0:02,92.37,2370,1:00,13.61,8.36,-3.47,-0.26,0.88,3.85,5.33,1.81,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
154,5,Top,Rafi Vazquez,Ariel Pestano Jr.,3,1,,double,0,FALSE,TRUE,FALSE,Jan-00,1,0,22,624166,,R,R,,C,5.72,5/1/2025 0:03,92.32,2380,1:00,14.39,7.76,-5.15,-0.78,0.29,2.28,5.37,1.67,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
155,5,Top,Rafi Vazquez,Benjamin Blackwell,0,0,Ball,,0,FALSE,TRUE,FALSE,Jan-00,1,0,23,624166,,R,R,,IF,5.06,5/1/2025 0:04,83.81,2519,8:45,0.12,-13.76,-7.36,-4.05,-0.93,2.06,5.39,1.75,Slider,"hsla(49, 100%, 44%,1)",R,,,,,,,,,Miguel De La Cruz Segura
156,5,Top,Rafi Vazquez,Benjamin Blackwell,1,0,Ball,,0,FALSE,TRUE,FALSE,Jan-00,1,0,24,624166,,R,R,,IF,5.64,5/1/2025 0:04,91.29,2315,1:15,12.83,10.09,-6.25,0.36,1.2,1.51,5.43,1.71,Four-Seam,"hsla(321, 100%, 41%, 1)",R,,,,,,,,,Miguel De La Cruz Segura
157,5,Top,Rafi Vazquez,Benjamin Blackwell,2,0,,fly out to right field,0,FALSE,FALSE,TRUE,Jan-00,1,0,25,624166,,R,R,,IF,5.7,5/1/2025 0:05,92.07,2357,1:15,14.99,9.85,-4.54,-1.07,-0.12,2.84,5.38,1.69,Four-Seam,"hsla(321, 100%, 41%, 1)",R,,,,,,,,,Miguel De La Cruz Segura
158,5,Top,Rafi Vazquez,Jonathan Soto,0,0,Swinging Strike,,1,FALSE,FALSE,TRUE,Jan-00,1,0,26,624166,,R,R,,C,5.88,5/1/2025 0:05,91.05,2392,1:15,13.88,10.07,-4.23,-0.65,0.17,3.35,5.45,1.62,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
159,5,Top,Rafi Vazquez,Jonathan Soto,0,1,Ball,,1,FALSE,FALSE,TRUE,Jan-00,1,0,27,624166,,R,R,,C,5.19,5/1/2025 0:06,83.54,2481,8:15,-2.35,-7.13,-8.58,-3.83,-1.41,1.01,5.4,1.6,Slider,"hsla(49, 100%, 44%,1)",L,,,,,,,,,Miguel De La Cruz Segura
160,5,Top,Rafi Vazquez,Jonathan Soto,1,1,Ball,,1,FALSE,FALSE,TRUE,Jan-00,1,0,28,624166,,R,R,,C,6.15,5/1/2025 0:06,90.51,2451,1:00,11.7,6.46,-5.98,-2.46,-1.19,1.89,5.43,1.63,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
161,5,Top,Rafi Vazquez,Jonathan Soto,2,1,Foul,,1,FALSE,FALSE,TRUE,Jan-00,1,0,29,624166,,R,R,,C,5.75,5/1/2025 0:06,91.88,2338,1:00,12.84,7.42,-4.24,-0.79,0.26,3.31,5.41,1.61,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
162,5,Top,Rafi Vazquez,Jonathan Soto,2,2,Called Strike,strike out,1,FALSE,FALSE,TRUE,Jan-00,1,0,30,624166,,R,R,,C,5.57,5/1/2025 0:07,92.69,2375,1:15,13.5,10.56,-5.4,-0.47,0.26,2.22,5.46,1.59,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
163,5,Top,Rafi Vazquez,Joseph Rosa,0,0,Ball,,2,FALSE,FALSE,TRUE,Jan-00,1,0,31,624166,,R,S,,IF,5.98,5/1/2025 0:07,93.02,2423,1:00,13.49,6.94,-4.6,-2.58,-1.15,2.82,5.35,1.83,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
164,5,Top,Rafi Vazquez,Joseph Rosa,1,0,Foul,,2,FALSE,FALSE,TRUE,Jan-00,1,0,32,624166,,R,S,,IF,5.58,5/1/2025 0:08,93.38,2436,1:15,14.14,11.04,-5.62,-0.4,0.56,1.84,5.36,1.85,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
165,5,Top,Rafi Vazquez,Joseph Rosa,1,1,,fly out,2,FALSE,FALSE,TRUE,Jan-00,1,0,33,624166,,R,S,,IF,5.66,5/1/2025 0:08,93.45,2360,1:30,12.2,12.11,-5.66,0.05,0.81,1.97,5.39,1.76,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
188,5,Bottom,Nick Del Prado,Pearce Howard,0,0,Called Strike,,2,TRUE,FALSE,TRUE,Jan-00,1,0,23,624166,,R,L,3-Jun,OF,5.4,5/1/2025 0:24,90.63,2084,12:00,19.99,0.89,-5.72,0.21,0.49,2.57,6.48,0.37,Four-Seam,"hsla(321, 100%, 41%, 1)",,,,,,,,,,Miguel De La Cruz Segura
189,5,Bottom,Nick Del Prado,Pearce Howard,0,1,Swinging Strike,,2,TRUE,FALSE,TRUE,Jan-00,1,0,24,624166,,R,L,3-Jun,OF,5.55,5/1/2025 0:24,83.83,1911,12:30,20.24,5.61,-5.54,-1.04,-0.91,3.16,6.36,0.53,ChangeUp,"hsla(321, 100%, 41%, 1)",,,,,,,,,,Miguel De La Cruz Segura
190,5,Bottom,Nick Del Prado,Pearce Howard,0,2,Ball,,2,TRUE,FALSE,TRUE,Jan-00,1,0,25,624166,,R,L,3-Jun,OF,5.31,5/1/2025 0:24,94.9,2268,12:00,22.31,0.79,-3.98,1.02,1.21,3.88,6.59,0.32,Four-Seam,"hsla(321, 100%, 41%, 1)",,,,,,,,,,Miguel De La Cruz Segura
191,5,Bottom,Nick Del Prado,Pearce Howard,1,2,,single,2,TRUE,FALSE,TRUE,Jan-00,1,0,26,624166,,R,L,3-Jun,OF,5.19,5/1/2025 0:25,83.75,2206,8:15,0.2,-2.97,-7.95,-1.09,-0.28,2.49,6.4,0.5,Slider,"hsla(49, 100%, 44%,1)",,,,,,,,,,Miguel De La Cruz Segura
192,5,Bottom,Nick Del Prado,Brett Barrera,0,0,Ball,,2,TRUE,FALSE,TRUE,Jan-00,1,0,27,624166,,R,R,Jun-00,3B,5.63,5/1/2025 0:26,93.12,2096,12:30,17.39,4.77,-7.32,0.43,0.04,1.13,6.48,0.04,Four-Seam,"hsla(321, 100%, 41%, 1)",,,,,,,,,,Miguel De La Cruz Segura
193,5,Bottom,Nick Del Prado,Brett Barrera,1,0,,fly out to the third baseman,2,TRUE,FALSE,TRUE,Jan-00,1,0,28,624166,,R,R,Jun-00,3B,5.49,5/1/2025 0:26,93.46,2207,12:45,15.6,5.92,-5.55,1.05,0.61,2.86,6.43,0.12,Four-Seam,"hsla(321, 100%, 41%, 1)",,,,,,,,,,Miguel De La Cruz Segura
194,6,Top,Jalen Miller,JJ Matijevic,0,0,,fly out to center field,0,FALSE,FALSE,FALSE,Jan-00,1,0,1,624166,,R,L,,IF,5.57,5/1/2025 0:29,90.65,2306,12:15,22.55,3.82,-4.36,-1.45,-0.55,3.16,5.98,1.13,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
195,6,Top,Jalen Miller,James Nelson,0,0,Called Strike,,1,FALSE,FALSE,FALSE,Jan-00,1,0,2,624166,,R,R,,IF,5.56,5/1/2025 0:30,92.16,2454,12:15,19.56,2.68,-5.19,-0.91,-0.24,2.39,5.87,0.83,Four-Seam,"hsla(321, 100%, 41%, 1)",R,,,,,,,,,Miguel De La Cruz Segura
196,6,Top,Jalen Miller,James Nelson,0,1,Foul,,1,FALSE,FALSE,FALSE,Jan-00,1,0,3,624166,,R,R,,IF,5.58,5/1/2025 0:30,82.4,2543,1:45,14.69,15.89,-5.92,1.16,0.8,2.79,5.82,1.04,ChangeUp,"hsla(188, 100%, 27%, 1)",R,,,,,,,,,Miguel De La Cruz Segura
197,6,Top,Jalen Miller,James Nelson,0,2,,single,1,FALSE,FALSE,FALSE,Jan-00,1,0,4,624166,,R,R,,IF,5.05,5/1/2025 0:30,77.36,2265,6:45,-4.78,-2.22,-8.06,-2.03,-0.54,3.03,5.97,1.19,Curveball,"hsla(49, 100%, 44%,1)",R,,,,,,,,,Miguel De La Cruz Segura
198,6,Top,Jalen Miller,Bobby Bradley,0,0,Ball,,1,TRUE,FALSE,FALSE,Jan-00,1,0,5,624166,,R,L,,IF,5.71,5/1/2025 0:31,90.52,2364,12:45,22.73,8.63,-4.74,-1.55,-1.04,2.69,5.91,1.12,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
199,6,Top,Jalen Miller,Bobby Bradley,1,0,Ball,,1,TRUE,FALSE,FALSE,Jan-00,1,0,6,624166,,R,L,,IF,5.52,5/1/2025 0:32,78.8,2377,1:45,16.4,19.07,-5.95,2.57,2.35,3.04,5.86,1.54,ChangeUp,"hsla(188, 100%, 27%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
200,6,Top,Jalen Miller,Bobby Bradley,2,0,Foul,,1,TRUE,FALSE,FALSE,Jan-00,1,0,7,624166,,R,L,,IF,5.44,5/1/2025 0:32,90.19,2369,12:45,22.92,9.45,-4.75,0.23,0.48,2.78,5.99,1.05,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
201,6,Top,Jalen Miller,Bobby Bradley,2,1,Ball,,1,TRUE,FALSE,FALSE,Jan-00,1,0,8,624166,,R,L,,IF,5.56,5/1/2025 0:32,91.04,2375,12:45,22.01,8.61,-2.84,-0.37,-0.29,4.61,6.01,0.78,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
202,6,Top,Jalen Miller,Bobby Bradley,3,1,Swinging Strike,,1,TRUE,FALSE,FALSE,Jan-00,1,0,9,624166,,R,L,,IF,5.94,5/1/2025 0:33,80.15,2337,1:15,18.77,14.47,-6.35,0.07,0.07,2.13,5.69,1.21,ChangeUp,"hsla(188, 100%, 27%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
203,6,Top,Jalen Miller,Bobby Bradley,3,2,Foul,,1,TRUE,FALSE,FALSE,Jan-00,1,0,10,624166,,R,L,,IF,5.95,5/1/2025 0:33,80.93,2419,1:15,19.63,15.49,-7.02,0.98,0.8,1.5,5.85,1.18,ChangeUp,"hsla(188, 100%, 27%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
204,6,Top,Jalen Miller,Bobby Bradley,3,2,Foul,,1,TRUE,FALSE,FALSE,Jan-00,1,0,11,624166,,R,L,,IF,5.8,5/1/2025 0:33,90.01,2299,12:45,23.43,7.89,-3.56,-0.85,-0.44,3.67,5.78,1,Four-Seam,"hsla(321, 100%, 41%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
205,6,Top,Jalen Miller,Bobby Bradley,3,2,Swinging Strike,strike out,1,FALSE,TRUE,FALSE,Jan-00,1,0,12,624166,,R,L,,IF,5.84,5/1/2025 0:34,79.12,2408,1:15,17.12,12.53,-7.49,-0.13,0.04,1.35,5.74,1.2,ChangeUp,"hsla(188, 100%, 27%, 1)",L,,,,,,,,,Miguel De La Cruz Segura
206,6,Top,Jalen Miller,Travis Demeritte,0,0,Ball,,2,FALSE,TRUE,FALSE,Jan-00,1,0,13,624166,,R,R,,IF,,,,,,,,,,,,,,,,,,,,,,,,,Miguel De La Cruz Segura
207,6,Top,Jalen Miller,Travis Demeritte,1,0,Ball,,2,FALSE,TRUE,FALSE,Jan-00,1,0,14,624166,,R,R,,IF,,,,,,,,,,,,,,,,,,,,,,,,,Miguel De La Cruz Segura
208,6,Top,Jalen Miller,Travis Demeritte,2,0,Foul,,2,FALSE,TRUE,FALSE,Jan-00,1,0,15,624166,,R,R,,IF,,,,,,,,,,,,,,,,,,,,,,,,,Miguel De La Cruz Segura
209,6,Top,Jalen Miller,Travis Demeritte,2,1,Foul,,2,FALSE,TRUE,FALSE,Jan-00,1,0,16,624166,,R,R,,IF,,,,,,,,,,,,,,,,,,,,,,,,,Miguel De La Cruz Segura
210,6,Top,Jalen Miller,Travis Demeritte,2,2,Ball,,2,FALSE,TRUE,FALSE,Jan-00,1,0,17,624166,,R,R,,IF,,,,,,,,,,,,,,,,,,,,,,,,,Miguel De La Cruz Segura
211,6,Top,Jalen Miller,Travis Demeritte,3,2,,single,2,FALSE,TRUE,FALSE,Jan-00,1,0,18,624166,,R,R,,IF,,,,,,,,,,,,,,,,,,,,,,,,,Miguel De La Cruz Segura
213,6,Bottom,Nick Del Prado,Gio Digiacomo,0,0,Ball,,0,FALSE,FALSE,FALSE,Jan-00,1,0,29,624166,,R,L,,OF,5.66,5/1/2025 0:39,91.59,2091,12:30,20.24,4.96,-4.78,-0.56,-0.78,3.44,6.6,0.15,Four-Seam,"hsla(321, 100%, 41%, 1)",,,,,,,,,,Miguel De La Cruz Segura
214,6,Bottom,Nick Del Prado,Gio Digiacomo,1,0,Foul,,0,FALSE,FALSE,FALSE,Jan-00,1,0,30,624166,,R,L,,OF,5.48,5/1/2025 0:39,92.12,2175,12:00,21.54,-1.27,-5.28,-0.94,-0.74,2.85,6.6,0.04,Four-Seam,"hsla(321, 100%, 41%, 1)",,,,,,,,,,Miguel De La Cruz Segura
215,6,Bottom,Nick Del Prado,Gio Digiacomo,1,1,Ball,,0,FALSE,FALSE,FALSE,Jan-00,1,0,31,624166,,R,L,,OF,5.64,5/1/2025 0:40,83.82,1967,1:30,16.03,14.4,-6.1,2.5,1.53,2.82,6.31,0.4,ChangeUp,"hsla(79, 100%, 32%,1)",,,,,,,,,,Miguel De La Cruz Segura
216,6,Bottom,Nick Del Prado,Gio Digiacomo,2,1,Called Strike,,0,FALSE,FALSE,FALSE,Jan-00,1,0,32,624166,,R,L,,OF,5.51,5/1/2025 0:40,92.05,2015,12:30,18.65,3.86,-5.05,0.88,0.6,3.18,6.48,0.09,Four-Seam,"hsla(321, 100%, 41%, 1)",,,,,,,,,,Miguel De La Cruz Segura
217,6,Bottom,Nick Del Prado,Gio Digiacomo,2,2,Ball,,0,FALSE,FALSE,FALSE,Jan-00,1,0,33,624166,,R,L,,OF,5.5,5/1/2025 0:40,92.64,2092,12:30,20.96,4.04,-3,1.3,1.17,4.9,6.53,0.29,Four-Seam,"hsla(321, 100%, 41%, 1)",,,,,,,,,,Miguel De La Cruz Segura
218,6,Bottom,Nick Del Prado,Gio Digiacomo,3,2,Called Strike,strike out,0,FALSE,FALSE,FALSE,Jan-00,1,0,34,624166,,R,L,,OF,5.38,5/1/2025 0:41,83.7,2067,7:00,-3.62,-3.2,-8.67,-1.44,-0.72,2.09,6.35,0.37,Slider,"hsla(49, 100%, 44%,1)",,,,,,,,,,Miguel De La Cruz Segura
219,6,Bottom,Nick Del Prado,Sam Dexter,0,0,Called Strike,,1,FALSE,FALSE,FALSE,Jan-00,1,0,35,624166,,R,R,11-May,SS,5.06,5/1/2025 0:41,83.54,1987,7:00,-4.17,-2.8,-7.73,-0.27,0.33,3.16,6.44,0.34,Slider,"hsla(49, 100%, 44%,1)",,,,,,,,,,Miguel De La Cruz Segura
220,6,Bottom,Nick Del Prado,Sam Dexter,0,1,Swinging Strike,,1,FALSE,FALSE,FALSE,Jan-00,1,0,36,624166,,R,R,11-May,SS,5.72,5/1/2025 0:42,93.19,2158,12:15,19.09,2.25,-3.78,-0.59,-0.81,4.29,6.54,-0.08,Four-Seam,"hsla(321, 100%, 41%, 1)",,,,,,,,,,Miguel De La Cruz Segura
