#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore,AwayGameNo,HomeGameNo,away_prob,home_prob
42.0,Jul 316:35 PM,Staten Island,Long Island,,,,"Postponed to:Aug 04, 05:35 PM",44,42,0.0,0.636
42.0,Jul 316:33 PM,Gastonia,Hagerstown,5-3,"Newsome, L","Kickham, M",final|,42,41,0.0,0.0
42.0,Jul 271:03 PM,Long Island,York,7-5,"Nelson, B","Llovera, M",final|,42,41,0.636,0.364
42.0,Aug  76:37 PM,S Maryland,High Point,10-5,"Martin, G","Del Bonta-Smith, F",final|,44,43,,1.0
42.0,Jul 271:33 PM,Lancaster,Staten Island,3-0,"Green, M","Peralta, O",final|,40,42,0.0,0.0
42.0,Aug  32:03 PM,Staten Island,Lancaster,1-3,"Skirrow, N","Peralta, O",final|,45,41,0.0,0.0
43.0,Aug  56:45 PM,Hagerstown,Lancaster,9-7,"Reyes, C","McAvene, M",final|,43,42,0.0,0.0
43.0,Aug 126:39 PM,Lancaster,S Maryland,10-8,"Bremer, N","Semple, S",final|,41,43,0.0,
43.0,Aug  56:35 PM,Lexington,Staten Island,6-10,"Helvey, C","Loper, J",final|,41,43,0.0,0.0
43.0,Jul 296:30 PM,Lancaster,York,5-7,"Robinson, C","Moreno, G",final|,42,42,0.0,0.364
43.0,Aug  86:33 PM,Long Island,Hagerstown,8-4,"Santos, R","Robbins, Z",final|,43,42,0.636,0.0
43.0,Jul 226:33 PM,Lexington,Gastonia,6-7,"Hennen, R","Lambert, C",final|,42,43,0.0,0.0
43.0,Jul 298:27 PM,S Maryland,Charleston,7-2,"Thompson, C","Chasse, R",final|,45,43,,0.0
43.0,Aug  17:06 PM,High Point,Lexington,15-2,"Scolaro, J","Castillo, W",final|,46,43,1.0,0.0
43.0,Aug  16:32 PM,Hagerstown,Long Island,3-6,"Hillman, J","Weisenburger, J",final|,44,43,0.0,0.636
