PitcherId,BatterId,walk_pct,k_pct,hit_pct,out_pct
656954,668842,0.26932386,0.25708404,0.29000267,0.18358941
656954,676667,0.2665712,0.2590267,0.28850636,0.18589576
656954,643271,0.27282304,0.24769107,0.29586822,0.18361768
656954,680763,0.27180618,0.2569964,0.29150072,0.17969671
656954,621006,0.26724267,0.25837776,0.28795314,0.1864264
656954,664850,0.26556084,0.2623066,0.29033986,0.18179269
656954,663692,0.2733677,0.25912482,0.28564,0.18186751
656954,678465,0.2713148,0.26507875,0.28912726,0.17447914
656954,595373,0.26417038,0.26412094,0.2942221,0.1774866
656954,684551,0.26499388,0.25469467,0.30236816,0.17794329
656954,680711,0.27476522,0.25325498,0.28504664,0.18693319
656954,663690,0.2720517,0.25544816,0.28442132,0.18807875
656954,669442,0.274092,0.261082,0.28525022,0.17957582
656954,676762,0.26490033,0.25309342,0.2938958,0.18811047
656954,694976,0.26838502,0.25704202,0.2952547,0.17931825
656954,675982,0.27574244,0.25566262,0.28772753,0.18086742
656954,694292,0.26958722,0.26414362,0.28782085,0.1784484
656954,687045,0.2703948,0.256703,0.29335257,0.17954963
656954,666179,0.27274483,0.25666946,0.284691,0.18589479
656954,696515,0.2718715,0.25506967,0.29239887,0.1806599
656954,621429,0.26953277,0.2559849,0.29085213,0.18363012
656954,571633,0.2666694,0.26036406,0.28877515,0.18419144
656954,669792,0.26848376,0.25935552,0.29124603,0.18091466
656954,684576,0.26413262,0.25732192,0.29554915,0.18299632
656954,689179,0.26807466,0.25612938,0.2935112,0.18228476
656954,670128,0.26894283,0.2583295,0.2935137,0.17921403
656954,656656,0.27107704,0.2578851,0.29141146,0.17962639
656954,681879,0.26914805,0.25785965,0.28913197,0.18386029
656954,676733,0.27544534,0.25607672,0.2857037,0.1827742
656954,664029,0.268203,0.25762156,0.29210657,0.18206887
656954,592604,0.2680255,0.25635588,0.29348013,0.18213852
656954,676896,0.26779553,0.25690696,0.2932782,0.18201931
656954,628366,0.26798925,0.25723726,0.29377115,0.1810024
656954,1000216204,0.27462175,0.25776538,0.28757617,0.18003663
