#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore
27,Jun 266:45 PM,York,Lancaster,,,,Penn Medicine
30,Jun 266:45 PM,Charleston,Lexington,,,,Lexington
28,Jun 276:30 PM,Staten Island,York,,,,York
22,Jun 276:35 PM,Lancaster,High Point,,,,High Point
28,Jun 276:35 PM,Hagerstown,Long Island,,,,Long Island
28,Jun 276:35 PM,Gastonia,Charleston,,,,Charleston
25,Jun 276:35 PM,Lexington,S Maryland,,,,Regency Furn.
29,Jun 286:30 PM,Staten Island,York,,,,York
29,Jun 286:35 PM,Gastonia,Charleston,,,,Charleston
23,Jun 286:35 PM,Lancaster,High Point,,,,High Point
29,Jun 286:35 PM,Hagerstown,Long Island,,,,Long Island
26,Jun 286:35 PM,Lexington,S Maryland,,,,Regency Furn.
30,Jun 291:00 PM,Staten Island,York,,,,York
30,Jun 291:35 PM,Hagerstown,Long Island,,,,Long Island
27,Jun 292:05 PM,Lexington,S Maryland,,,,Regency Furn.
30,Jun 293:04 PM,Gastonia,Charleston,,,,Charleston
24,Jun 294:05 PM,Lancaster,High Point,,,,High Point
31,Jul  16:30 PM,Lancaster,York,,,,York
25,Jul  16:35 PM,Gastonia,High Point,,,,High Point
28,Jul  16:35 PM,Hagerstown,S Maryland,,,,Regency Furn.
31,Jul  16:35 PM,Lexington,Charleston,,,,Charleston
31,Jul  16:35 PM,Staten Island,Long Island,,,,Long Island
32,Jul  26:35 PM,Lexington,Charleston,,,,Charleston
32,Jul  26:35 PM,Staten Island,Long Island,,,,Long Island
26,Jul  26:35 PM,Gastonia,High Point,,,,High Point
29,Jul  26:35 PM,Hagerstown,S Maryland,,,,Regency Furn.
32,Jul  36:30 PM,Lancaster,York,,,,York
30,Jul  36:35 PM,Hagerstown,S Maryland,,,,Regency Furn.
33,Jul  36:35 PM,Lexington,Charleston,,,,Charleston
27,Jul  36:35 PM,Gastonia,High Point,,,,High Point
33,Jul  36:35 PM,Staten Island,Long Island,,,,Long Island
34,Jul  44:00 PM,High Point,Gastonia,,,,Gastonia
28,Jul  46:30 PM,Long Island,Hagerstown,,,,Hagerstown
33,Jul  46:30 PM,Lancaster,York,,,,York
28,Jul  46:45 PM,Charleston,Lancaster,,,,Penn Medicine
28,Jul  47:00 PM,York,Staten Island,,,,Staten Island
31,Jul  47:00 PM,S Maryland,Lexington,,,,Lexington
29,Jul  52:00 PM,York,Staten Island,,,,Staten Island
29,Jul  56:00 PM,Long Island,Hagerstown,,,,Hagerstown
29,Jul  56:45 PM,Charleston,Lancaster,,,,Penn Medicine
32,Jul  57:00 PM,S Maryland,Lexington,,,,Lexington
35,Jul  57:00 PM,High Point,Gastonia,,,,Gastonia
30,Jul  61:30 PM,York,Staten Island,,,,Staten Island
30,Jul  62:00 PM,Charleston,Lancaster,,,,Penn Medicine
33,Jul  62:00 PM,S Maryland,Lexington,,,,Lexington
36,Jul  64:00 PM,High Point,Gastonia,,,,Gastonia
30,Jul  65:00 PM,Long Island,Hagerstown,,,,Hagerstown
31,Jul  86:30 PM,Long Island,Staten Island,,,,Staten Island
37,Jul  86:30 PM,Charleston,Gastonia,,,,Gastonia
31,Jul  86:30 PM,Lexington,Hagerstown,,,,Hagerstown
28,Jul  86:35 PM,York,High Point,,,,High Point
31,Jul  86:45 PM,S Maryland,Lancaster,,,,Penn Medicine
29,Jul  912:05 PM,York,High Point,,,,High Point
38,Jul  912:30 PM,Charleston,Gastonia,,,,Gastonia
32,Jul  96:30 PM,Long Island,Staten Island,,,,Staten Island
32,Jul  96:30 PM,Lexington,Hagerstown,,,,Hagerstown
32,Jul  96:45 PM,S Maryland,Lancaster,,,,Penn Medicine
33,Jul 106:30 PM,Lexington,Hagerstown,,,,Hagerstown
39,Jul 106:30 PM,Charleston,Gastonia,,,,Gastonia
33,Jul 106:30 PM,Long Island,Staten Island,,,,Staten Island
30,Jul 106:35 PM,York,High Point,,,,High Point
33,Jul 106:45 PM,S Maryland,Lancaster,,,,Penn Medicine
34,Jul 116:30 PM,Staten Island,York,,,,York
31,Jul 116:35 PM,Gastonia,High Point,,,,High Point
34,Jul 116:35 PM,Lancaster,Long Island,,,,Long Island
34,Jul 116:35 PM,Hagerstown,Charleston,,,,Charleston
31,Jul 116:35 PM,Lexington,S Maryland,,,,Regency Furn.
35,Jul 126:30 PM,Staten Island,York,,,,York
32,Jul 126:35 PM,Gastonia,High Point,,,,High Point
35,Jul 126:35 PM,Lancaster,Long Island,,,,Long Island
35,Jul 126:35 PM,Hagerstown,Charleston,,,,Charleston
32,Jul 126:35 PM,Lexington,S Maryland,,,,Regency Furn.
36,Jul 131:00 PM,Staten Island,York,,,,York
33,Jul 132:05 PM,Lexington,S Maryland,,,,Regency Furn.
36,Jul 133:04 PM,Hagerstown,Charleston,,,,Charleston
33,Jul 134:05 PM,Gastonia,High Point,,,,High Point
36,Jul 135:05 PM,Lancaster,Long Island,,,,Long Island
34,Jul 156:30 PM,Long Island,Staten Island,,,,Staten Island
37,Jul 156:30 PM,High Point,York,,,,York
34,Jul 156:30 PM,Lancaster,Hagerstown,,,,Hagerstown
37,Jul 156:35 PM,S Maryland,Charleston,,,,Charleston
34,Jul 156:45 PM,Gastonia,Lexington,,,,Lexington
35,Jul 1611:00 AM,Gastonia,Lexington,,,,Lexington
38,Jul 1612:05 PM,S Maryland,Charleston,,,,Charleston
38,Jul 166:30 PM,High Point,York,,,,York
35,Jul 166:30 PM,Lancaster,Hagerstown,,,,Hagerstown
35,Jul 166:30 PM,Long Island,Staten Island,,,,Staten Island
36,Jul 1710:30 AM,Long Island,Staten Island,,,,Staten Island
39,Jul 1711:00 AM,High Point,York,,,,York
36,Jul 176:30 PM,Lancaster,Hagerstown,,,,Hagerstown
39,Jul 176:35 PM,S Maryland,Charleston,,,,Charleston
36,Jul 176:45 PM,Gastonia,Lexington,,,,Lexington
37,Jul 186:30 PM,York,Hagerstown,,,,Hagerstown
37,Jul 186:35 PM,Charleston,Long Island,,,,Long Island
34,Jul 186:45 PM,High Point,Lancaster,,,,Penn Medicine
37,Jul 187:00 PM,S Maryland,Lexington,,,,Lexington
40,Jul 187:00 PM,Staten Island,Gastonia,,,,Gastonia
38,Jul 196:00 PM,York,Hagerstown,,,,Hagerstown
38,Jul 196:35 PM,Charleston,Long Island,,,,Long Island
35,Jul 196:45 PM,High Point,Lancaster,,,,Penn Medicine
