#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore
59,Sep  67:00 PM,S Maryland,Gastonia,,,,Gastonia
59,Sep  67:00 PM,Charleston,Lexington,,,,Lexington
60,Sep  71:00 PM,Lancaster,York,,,,York
60,Sep  71:30 PM,Hagerstown,Staten Island,,,,Staten Island
60,Sep  72:00 PM,Charleston,Lexington,,,,Lexington
60,Sep  74:00 PM,S Maryland,Gastonia,,,,Gastonia
60,Sep  74:05 PM,Long Island,High Point,,,,High Point
58,Sep  96:30 PM,Lancaster,Hagerstown,,,,Hagerstown
61,Sep  96:30 PM,Staten Island,York,,,,York
58,Sep  96:35 PM,Lexington,Long Island,,,,Long Island
58,Sep  96:35 PM,High Point,S Maryland,,,,Regency Furn.
58,Sep  96:35 PM,Gastonia,Charleston,,,,Charleston
62,Sep 106:30 PM,Staten Island,York,,,,York
59,Sep 106:30 PM,Lancaster,Hagerstown,,,,Hagerstown
59,Sep 106:35 PM,Gastonia,Charleston,,,,Charleston
59,Sep 106:35 PM,High Point,S Maryland,,,,Regency Furn.
59,Sep 106:35 PM,Lexington,Long Island,,,,Long Island
63,Sep 116:30 PM,Staten Island,York,,,,York
60,Sep 116:30 PM,Lancaster,Hagerstown,,,,Hagerstown
60,Sep 116:35 PM,Lexington,Long Island,,,,Long Island
60,Sep 116:35 PM,Gastonia,Charleston,,,,Charleston
60,Sep 116:35 PM,High Point,S Maryland,,,,Regency Furn.
61,Sep 126:30 PM,Staten Island,Hagerstown,,,,Hagerstown
61,Sep 126:35 PM,High Point,S Maryland,,,,Regency Furn.
61,Sep 126:35 PM,Gastonia,Charleston,,,,Charleston
61,Sep 126:35 PM,York,Long Island,,,,Long Island
58,Sep 126:45 PM,Lexington,Lancaster,,,,Penn Medicine
62,Sep 136:00 PM,Staten Island,Hagerstown,,,,Hagerstown
62,Sep 136:35 PM,Gastonia,Charleston,,,,Charleston
62,Sep 136:35 PM,York,Long Island,,,,Long Island
62,Sep 136:35 PM,High Point,S Maryland,,,,Regency Furn.
59,Sep 136:45 PM,Lexington,Lancaster,,,,Penn Medicine
63,Sep 141:35 PM,York,Long Island,,,,Long Island
63,Sep 142:00 PM,Staten Island,Hagerstown,,,,Hagerstown
60,Sep 142:00 PM,Lexington,Lancaster,,,,Penn Medicine
63,Sep 142:05 PM,High Point,S Maryland,,,,Regency Furn.
63,Sep 143:04 PM,Gastonia,Charleston,,,,Charleston
61,Sep 166:30 PM,York,Staten Island,,,,Staten Island
61,Sep 166:30 PM,Hagerstown,Gastonia,,,,Gastonia
61,Sep 166:35 PM,Charleston,High Point,,,,High Point
61,Sep 166:45 PM,Long Island,Lancaster,,,,Penn Medicine
61,Sep 166:45 PM,S Maryland,Lexington,,,,Lexington
62,Sep 1711:00 AM,S Maryland,Lexington,,,,Lexington
62,Sep 1712:30 PM,Hagerstown,Gastonia,,,,Gastonia
62,Sep 176:30 PM,York,Staten Island,,,,Staten Island
62,Sep 176:35 PM,Charleston,High Point,,,,High Point
62,Sep 176:45 PM,Long Island,Lancaster,,,,Penn Medicine
63,Sep 1810:30 AM,York,Staten Island,,,,Staten Island
63,Sep 186:30 PM,Hagerstown,Gastonia,,,,Gastonia
63,Sep 186:35 PM,Charleston,High Point,,,,High Point
63,Sep 186:45 PM,S Maryland,Lexington,,,,Lexington
63,Sep 186:45 PM,Long Island,Lancaster,,,,Penn Medicine
