Batter,PA,AB,H,BB,IBB,HBP,AVG,OBP,SLG,Avg Exit Velo,Avg LA,Avg Distance
"Berglund, Michael",1,3,0,4,0,0,0.0,4.0,0.0,,,
"Higgins, Ryan",1,3,0,4,0,0,0.0,4.0,0.0,,,
"Miller, Jalen",1,3,0,4,0,0,0.0,4.0,0.0,,,
"Otosaka, Tomo",1,3,0,4,0,0,0.0,4.0,0.0,,,
"Soularie, Alerick",1,3,0,4,0,0,0.0,4.0,0.0,,,
"Wehler, Jeffrey",2,3,0,4,0,0,0.0,2.0,0.0,,,
