Status,Season,season_id,Team,team_id,Player,player_id,AVG,R,H,2B,3B,HR,RBI,BB,SO,SB,AVG_from_0.33,HR_from_15,stats_url,AB,CS,DP,E,G,HBP,P,SF,SH
close,ALPB- 2022,34154,Southern Maryland Blue Crabs,3608,"Harris, D",1750395,.322,71,113,23,1,16,86,34,76,2,-0.008,1.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34154,351,1,8,0,98,11,IF,6,0
close,ALPB- 2021,34146,Lexington Legends,163530,"Hawkins, C",1701072,.327,86,106,15,2,32,78,53,68,8,-0.003,17.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34146,324,1,5,1,90,11,LF,7,0
close,ALPB- 2021,34146,Lexington Legends,163530,"Pugh, T",1750086,.323,102,122,26,3,26,107,68,103,13,-0.007,11.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34146,378,3,6,2,117,8,CF,2,0
close,ALPB- 2021,34146,Long Island Ducks,3609,"Lombardozzi, S",1749711,.329,99,143,24,3,16,83,91,41,20,-0.001,1.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=34146,435,4,4,4,119,5,2B,11,1
close,ALPB- 2021,34146,Lancaster Barnstormers,3613,"Dugan, K",1745222,.326,77,103,21,1,15,88,55,67,5,-0.004,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34146,316,1,6,6,104,6,RF,7,0
close,ALPB- 2021,34146,Lexington Legends,163530,"Baldoquin, R",1750096,.358,90,143,30,4,14,75,49,55,13,0.028,-1.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34146,400,4,10,9,109,18,SS,2,0
close,ALPB- 2021,34146,Southern Maryland Blue Crabs,3608,"Collier, Z",1750064,.324,75,94,25,6,14,57,53,75,8,-0.006,-1.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34146,290,3,0,1,88,16,CF,4,0
close,ALPB- 2021,34146,Gastonia Honey Hunters,163528,"Osinski, M",1750604,.359,61,94,22,1,13,59,36,41,8,0.029,-2.0,https://baseball.pointstreak.com/team_stats.html?teamid=163528&seasonid=34146,262,4,7,9,68,4,1B,6,0
close,ALPB- 2021,34146,Lexington Legends,163530,"Briceño, J",1750088,.333,34,49,12,0,13,36,12,29,0,0.003,-2.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34146,147,0,2,7,38,4,C,1,0
close,ALPB- 2021,34146,Southern Maryland Blue Crabs,3608,"Crosby, A",1750077,.321,74,121,26,0,13,67,27,50,6,-0.009,-2.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=34146,377,3,6,9,104,11,1B,1,2
close,ALPB- 2019,34130,Somerset Patriots,3604,"Kengor, W",1750045,.321,70,152,32,2,15,65,62,111,22,-0.009,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=34130,474,6,6,8,129,5,1B,5,0
close,ALPB- 2025,34102,Lexington Legends,163530,"Terry, C",1744116,.322,65,107,26,0,21,80,32,42,4,-0.008,6.0,https://baseball.pointstreak.com/team_stats.html?teamid=163530&seasonid=34102,332,2,10,3,88,9,IF,3,0
close,ALPB- 2025,34102,Staten Island Ferry Hawks,163526,"Scheffler, M",1749467,.338,48,93,20,0,13,54,40,62,0,0.008,-2.0,https://baseball.pointstreak.com/team_stats.html?teamid=163526&seasonid=34102,275,1,3,5,75,5,C,2,0
close,ALPB- 2024,33927,York Revolution,3614,"Wiel, Z",1696994,.323,46,73,17,1,17,58,25,56,5,-0.007,2.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=33927,226,0,3,1,60,5,IF,4,0
close,ALPB- 2024,33927,Long Island Ducks,3609,"x Schwindel, F",1695408,.325,44,78,14,0,14,56,28,33,0,-0.005,-1.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=33927,240,0,10,1,61,1,IF,3,0
close,ALPB- 2024,33927,Lancaster Stormers,3613,"x Santana, C",1695448,.423,28,60,10,1,13,47,14,34,0,0.093,-2.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=33927,142,2,5,5,35,1,IF,2,0
close,ALPB- 2018,31284,Lancaster Barnstormers,3613,"Casteel, R",1226940,.321,51,117,20,3,16,70,34,53,3,-0.009,1.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=31284,365,2,9,3,104,6,C,5,0
close,ALPB- 2017,30757,Somerset Patriots,3604,"Roller, K",1019892,.326,61,102,15,1,22,77,55,84,0,-0.004,7.0,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=30757,313,0,7,0,90,5,IF,5,0
close,ALPB- 2017,30757,Lancaster Barnstormers,3613,"x Hobson, K",1113281,.326,42,78,9,1,21,61,29,42,1,-0.004,6.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=30757,239,1,6,3,63,5,1B,2,0
close,ALPB- 2016,30100,Somerset Patriots,3604,"Vidal, D",776862,.320,66,101,19,1,26,62,45,68,5,-0.01,11.0,https://baseball.pointstreak.com/team_stats.html?teamid=3604&seasonid=30100,316,1,9,8,85,6,IF,1,2
close,ALPB- 2016,30100,Lancaster Barnstormers,3613,"Hobson, K",1113281,.320,60,116,15,2,24,65,42,67,5,-0.01,9.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=30100,363,2,3,6,98,5,1B,4,1
close,ALPB- 2013,21966,Southern Maryland Blue Crabs,3608,"x Hankerd, C",440810,.322,56,97,26,2,22,61,25,50,1,-0.008,7.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=21966,301,0,6,2,81,15,OF,5,0
close,ALPB - 2011,540,Long Island Ducks,3609,"Esquivel, M",300197,.328,65,109,22,1,15,69,48,76,7,-0.002,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=540,332,0,5,6,92,6,OF,2,0
close,ALPB - 2011,540,York Revolution,3614,"Castro, R",49822,.323,50,93,22,1,14,62,50,48,1,-0.007,-1.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=540,288,2,10,6,80,6,IF,5,1
close,ALPB - 2010,249,Lancaster Barnstormers,3613,"Herr, A",45648,.321,91,163,35,0,23,103,37,110,4,-0.009,8.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=249,508,2,15,17,127,4,3B,3,0
close,ALPB - 2010,249,Bridgeport Bluefish,3611,"Moss, S",45553,.321,88,143,24,8,22,83,56,89,5,-0.009,7.0,https://baseball.pointstreak.com/team_stats.html?teamid=3611&seasonid=249,446,3,10,5,115,7,OF,6,1
close,ALPB - 2010,249,York Revolution,3614,"Shanks, J",375161,.325,91,172,29,4,19,86,23,82,14,-0.005,4.0,https://baseball.pointstreak.com/team_stats.html?teamid=3614&seasonid=249,530,2,18,11,131,4,OF,8,2
close,ALPB - 2010,249,Southern Maryland Blue Crabs,3608,"Craig, M",46736,.323,60,122,30,0,15,62,59,69,0,-0.007,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=3608&seasonid=249,378,1,13,3,104,7,DH,1,0
close,ALPB - 2010,249,Lancaster Barnstormers,3613,"Mulhern, R",57258,.322,49,96,19,1,14,59,39,72,4,-0.008,-1.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=249,298,3,5,10,86,3,1B,10,0
close,ALPB - 2010,249,Bridgeport Bluefish,3611,"Jiannetti, J",45550,.326,52,125,24,3,13,64,23,52,8,-0.004,-2.0,https://baseball.pointstreak.com/team_stats.html?teamid=3611&seasonid=249,383,4,13,15,108,7,IF,5,2
