season,season_id,division,team,team_id,team_url
ALPB- 2019,34130,Liberty,New Britain Bees,107693,https://baseball.pointstreak.com/team_home.html?teamid=107693&seasonid=34130
ALPB- 2019,34130,Liberty,Somerset Patriots,3604,https://baseball.pointstreak.com/team_home.html?teamid=3604&seasonid=34130
Playoffs 2025,34106,North,Lancaster Stormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=34106
Playoffs 2025,34106,North,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=34106
Playoffs 2025,34106,South,Gastonia Ghost Peppers,163528,https://baseball.pointstreak.com/team_home.html?teamid=163528&seasonid=34106
Playoffs 2025,34106,South,High Point Rockers,163529,https://baseball.pointstreak.com/team_home.html?teamid=163529&seasonid=34106
2025 Spring Training,34104,North,Hagerstown Flying Boxcars,163525,https://baseball.pointstreak.com/team_home.html?teamid=163525&seasonid=34104
2025 Spring Training,34104,North,Lancaster Stormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=34104
2025 Spring Training,34104,North,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=34104
2025 Spring Training,34104,North,Staten Island Ferry Hawks,163526,https://baseball.pointstreak.com/team_home.html?teamid=163526&seasonid=34104
2025 Spring Training,34104,North,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=34104
2025 Spring Training,34104,Outside,Black Sox,163592,https://baseball.pointstreak.com/team_home.html?teamid=163592&seasonid=34104
2025 Spring Training,34104,Outside,Blacksox,163590,https://baseball.pointstreak.com/team_home.html?teamid=163590&seasonid=34104
2025 Spring Training,34104,Outside,California Dogecoin,163588,https://baseball.pointstreak.com/team_home.html?teamid=163588&seasonid=34104
2025 Spring Training,34104,Outside,Long Island Black Sox,163595,https://baseball.pointstreak.com/team_home.html?teamid=163595&seasonid=34104
2025 Spring Training,34104,Outside,Sox,163591,https://baseball.pointstreak.com/team_home.html?teamid=163591&seasonid=34104
2025 Spring Training,34104,Outside,Susquehanna/Central All-Stars,163594,https://baseball.pointstreak.com/team_home.html?teamid=163594&seasonid=34104
2025 Spring Training,34104,South,Charleston Dirty Birds,163527,https://baseball.pointstreak.com/team_home.html?teamid=163527&seasonid=34104
2025 Spring Training,34104,South,Gastonia Ghost Peppers,163528,https://baseball.pointstreak.com/team_home.html?teamid=163528&seasonid=34104
2025 Spring Training,34104,South,High Point Rockers,163529,https://baseball.pointstreak.com/team_home.html?teamid=163529&seasonid=34104
2025 Spring Training,34104,South,Lexington Legends,163530,https://baseball.pointstreak.com/team_home.html?teamid=163530&seasonid=34104
2025 Spring Training,34104,South,Southern Maryland Blue Crabs,3608,https://baseball.pointstreak.com/team_home.html?teamid=3608&seasonid=34104
ALPB- 2025,34102,North,Hagerstown Flying Boxcars,163525,https://baseball.pointstreak.com/team_home.html?teamid=163525&seasonid=34102
ALPB- 2025,34102,North,Lancaster Stormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=34102
ALPB- 2025,34102,North,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=34102
ALPB- 2025,34102,North,Staten Island Ferry Hawks,163526,https://baseball.pointstreak.com/team_home.html?teamid=163526&seasonid=34102
ALPB- 2025,34102,North,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=34102
ALPB- 2025,34102,South,Charleston Dirty Birds,163527,https://baseball.pointstreak.com/team_home.html?teamid=163527&seasonid=34102
ALPB- 2025,34102,South,Gastonia Ghost Peppers,163528,https://baseball.pointstreak.com/team_home.html?teamid=163528&seasonid=34102
ALPB- 2025,34102,South,High Point Rockers,163529,https://baseball.pointstreak.com/team_home.html?teamid=163529&seasonid=34102
ALPB- 2025,34102,South,Lexington Legends,163530,https://baseball.pointstreak.com/team_home.html?teamid=163530&seasonid=34102
ALPB- 2025,34102,South,Southern Maryland Blue Crabs,3608,https://baseball.pointstreak.com/team_home.html?teamid=3608&seasonid=34102
Playoffs 2024,34052,North,Lancaster Stormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=34052
Playoffs 2024,34052,North,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=34052
Playoffs 2024,34052,South,Charleston Dirty Birds,163527,https://baseball.pointstreak.com/team_home.html?teamid=163527&seasonid=34052
Playoffs 2024,34052,South,Gastonia Baseball Club,163528,https://baseball.pointstreak.com/team_home.html?teamid=163528&seasonid=34052
2024 Spring Training,33946,North,Hagerstown Flying Boxcars,163525,https://baseball.pointstreak.com/team_home.html?teamid=163525&seasonid=33946
2024 Spring Training,33946,North,Lancaster Stormers,3613,https://baseball.pointstreak.com/team_home.html?teamid=3613&seasonid=33946
2024 Spring Training,33946,North,Long Island Ducks,3609,https://baseball.pointstreak.com/team_home.html?teamid=3609&seasonid=33946
2024 Spring Training,33946,North,Staten Island Ferry Hawks,163526,https://baseball.pointstreak.com/team_home.html?teamid=163526&seasonid=33946
2024 Spring Training,33946,North,York Revolution,3614,https://baseball.pointstreak.com/team_home.html?teamid=3614&seasonid=33946
2024 Spring Training,33946,Outside,Black Sox,163592,https://baseball.pointstreak.com/team_home.html?teamid=163592&seasonid=33946
2024 Spring Training,33946,Outside,Blacksox,163590,https://baseball.pointstreak.com/team_home.html?teamid=163590&seasonid=33946
2024 Spring Training,33946,Outside,California Dogecoin,163588,https://baseball.pointstreak.com/team_home.html?teamid=163588&seasonid=33946
2024 Spring Training,33946,Outside,Long Island Black Sox,163595,https://baseball.pointstreak.com/team_home.html?teamid=163595&seasonid=33946
2024 Spring Training,33946,Outside,Sox,163591,https://baseball.pointstreak.com/team_home.html?teamid=163591&seasonid=33946
2024 Spring Training,33946,Outside,Susquehanna/Central All-Stars,163594,https://baseball.pointstreak.com/team_home.html?teamid=163594&seasonid=33946
2024 Spring Training,33946,South,Charleston Dirty Birds,163527,https://baseball.pointstreak.com/team_home.html?teamid=163527&seasonid=33946
2024 Spring Training,33946,South,Gastonia Baseball Club,163528,https://baseball.pointstreak.com/team_home.html?teamid=163528&seasonid=33946
2024 Spring Training,33946,South,High Point Rockers,163529,https://baseball.pointstreak.com/team_home.html?teamid=163529&seasonid=33946
2024 Spring Training,33946,South,Lexington Legends,163530,https://baseball.pointstreak.com/team_home.html?teamid=163530&seasonid=33946
2024 Spring Training,33946,South,Southern Maryland Blue Crabs,3608,https://baseball.pointstreak.com/team_home.html?teamid=3608&seasonid=33946
ALPB- 2024,33927,North,Hagerstown Flying Boxcars,163525,https://baseball.pointstreak.com/team_home.html?teamid=163525&seasonid=33927
