Status,Season,season_id,Team,team_id,Player,player_id,AVG,R,H,2B,3B,HR,RBI,BB,SO,SB,H_from_200,R_from_100,stats_url,AB,CS,DP,E,G,HBP,P,SF,SH
close,ALPB- 2022,34154,Lancaster Barnstormers,3613,"Cordero, A",1750753,.339,87,184,35,5,18,118,28,65,8,-16.0,-13.0,https://baseball.pointstreak.com/team_stats.html?teamid=3613&seasonid=34154,542,6,21,9,131,6,IF,7,0
close,ALPB- 2014,28163,Long Island Ducks,3609,"Ford, L",127677,.347,100,189,40,2,15,95,53,65,8,-11.0,0.0,https://baseball.pointstreak.com/team_stats.html?teamid=3609&seasonid=28163,544,0,18,0,140,16,OF,8,1
