Batter,PA,AB,H,BB,IBB,HBP,AVG,OBP,SLG,Avg Exit Velo,Avg LA,Avg Distance
"Alleyne, Bubba",2,13,1,1,0,0,0.077,1.0,0.077,93.9,11.8,223.8
"Arocho, Jeremy",1,13,0,1,0,0,0.0,1.0,0.0,,,
"Costes, Marty",1,13,0,1,0,0,0.0,1.0,0.0,,,
"Miller, Jalen",1,13,0,1,0,0,0.0,1.0,0.0,,,
"Olmeda, Alexis",1,13,0,1,0,0,0.0,1.0,0.0,,,
"Simoneit, Will",1,13,0,1,0,0,0.0,1.0,0.0,,,
"Higgins, Ryan",2,13,0,1,0,0,0.0,0.5,0.0,,,
"Lewis, Brandon",2,13,0,1,0,0,0.0,0.5,0.0,,,
"Wehler, Jeffrey",3,13,0,1,0,0,0.0,0.333,0.0,,,
