Division,Away,Home,Date,Time,Result,Jersey / Pants
North /South,York,Gastonia,"Fri, Apr 25",7:10 PM,5-4,Gray/Gray
North /South,York,Gastonia,"Sat, Apr 26",7:02 PM,10-9,Gray/Gray
North /South,York,Gastonia,"Sun, Apr 27",4:01 PM,11-3,Gray/Gray
North,Lancaster,York,"Tue, Apr 29",6:48 PM,4-9,White/White
North,Lancaster,York,"Wed, Apr 30",6:34 PM,7-8,White/White
North,Lancaster,York,"Thu, May 1",6:33 PM,10-6,White/White
North,Long Island,York,"Fri, May 2",6:32 PM,10-2,Black/White(Yellow Numbers)
North,Long Island,York,"Sun, May 4",1:02 PM,2-4,Black/White(Yellow Numbers)
North,Long Island,York,"Sun, May 4",4:13 PM,10-9,Yellow(Blue bottom) / White
