Batter,PA,AB,H,BB,IBB,HBP,AVG,OBP,SLG,Avg Exit Velo,Avg LA,Avg Distance
"Alleyne, Bubba",1,3,0,1,0,0,0.0,1.0,0.0,,,
"Berglund, Michael",1,3,0,1,0,0,0.0,1.0,0.0,,,
"Higgins, Ryan",1,3,0,1,0,0,0.0,1.0,0.0,,,
"Wehler, Jeffrey",1,3,0,1,0,0,0.0,1.0,0.0,,,
